Crack radius (m),Closure stress (Pa)
2.5e-06,1959911.8849106878
7.500000000000001e-06,5224543.333860472
1.2500000000000002e-05,8489174.7828103
1.7500000000000002e-05,11753806.231760114
2.25e-05,15018437.680709943
2.7500000000000004e-05,18283069.129659757
3.2500000000000004e-05,21547700.578609556
3.7500000000000003e-05,24812332.027559355
4.25e-05,28076963.476509184
4.75e-05,31341594.925459012
5.25e-05,34606226.3744088
5.75e-05,37870857.823358625
6.25e-05,40725301.782055214
6.750000000000001e-05,43579745.74075181
7.25e-05,46434189.69944839
7.750000000000001e-05,49288633.658144996
8.25e-05,52143077.61684157
8.750000000000001e-05,54997521.57553817
9.25e-05,57851965.534234755
9.750000000000001e-05,60706409.49293135
0.0001025,63560853.45162793
0.00010750000000000001,66415297.41032453
0.0001125,69269741.36902112
0.00011750000000000001,72124185.3277177
0.0001225,74978629.2864143
0.0001275,77833073.2451109
0.00013250000000000002,80687517.20380747
0.0001375,83541961.16250408
0.0001425,86396405.12120065
0.0001475,89250849.07989725
0.00015250000000000002,92105293.03859383
0.0001575,94959736.99729043
0.00016250000000000002,97814180.955987
0.0001675,100668624.91468361
0.00017250000000000002,104420521.9284943
0.00017750000000000003,108172418.942305
0.00018250000000000002,111924315.95611566
0.0001875,115676212.96992634
0.00019250000000000002,119428109.98373704
0.00019750000000000003,123180006.99754773
0.00020250000000000002,126931904.01135841
0.0002075,130683801.02516907
0.00021250000000000002,134435698.03897977
0.00021750000000000003,138187595.05279046
0.00022250000000000001,141939492.06660113
0.0002275,145691389.08041182
0.0002325,149443286.0942225
0.00023750000000000003,153195183.10803318
0.00024250000000000004,156947080.12184387
0.0002475,160698977.13565454
0.0002525,164450874.14946523
0.0002575,168202771.16327593
0.00026250000000000004,171954668.17708662
0.00026750000000000005,176966234.72399285
0.0002725,181977801.27089906
0.0002775,186989367.8178053
0.00028250000000000004,192000934.36471152
0.0002875,197012500.9116177
0.0002925,202024067.45852396
0.0002975,207035634.0054302
0.00030250000000000003,212047200.55233642
0.00030750000000000005,217058767.09924266
0.0003125,222070333.64614886
0.0003175,227081900.1930551
0.00032250000000000003,232093466.73996133
0.00032750000000000005,237105033.28686756
0.0003325,242116599.83377376
0.0003375,248840754.69143057
0.00034250000000000003,255564909.54908738
0.00034750000000000004,262289064.40674418
0.00035250000000000006,269013219.264401
0.0003575,275737374.12205774
0.00036250000000000003,282461528.9797146
0.00036750000000000004,289185683.83737135
0.0003725,295909838.69502807
0.0003775,302633993.5526849
0.00038250000000000003,309358148.41034174
0.00038750000000000004,316082303.2679985
0.00039250000000000005,322806458.12565535
0.0003975,332670624.68643105
0.0004025,342534791.2472068
0.00040750000000000004,352398957.80798256
0.00041250000000000005,362263124.3687584
0.0004175,372127290.9295341
0.0004225,381991457.49030983
0.00042750000000000004,391855624.0510856
0.00043250000000000005,401719790.61186135
0.00043750000000000006,416136908.58213985
0.0004425,430554026.5524182
0.00044750000000000004,444971144.5226967
0.00045250000000000005,459388262.4929751
0.0004575,473805380.4632535
0.0004625,488222498.43353194
0.00046750000000000003,502639616.40381044
0.00047250000000000005,527791591.8611807
0.00047750000000000006,552943567.3185511
0.0004825000000000001,578095542.7759213
0.0004875000000000001,603247518.2332916
0.0004925000000000001,464195791.5452157
